Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ємець,Ігнат,Іванович,Чоловіча,2000-09-07,Філолог,хутір Мала Виска,"шосе Надії Пучковської, буд. 6 кв. 4, Монастирище, 36840",+380 97 264 09 85,smyknadiia@example.com
Девдюк,Охрім,Андрійович,Чоловіча,2004-03-23,Будник,село Бучач,"сквер Молоді, буд. 73, Дебальцеве, 99912",+380 19 108-07-78,zynoviisvyrydenko@example.org
Луценко,Альберт,Богданович,Чоловіча,1994-02-10,Ветеринар,місто Ямпіль,"площа Олешківська, буд. 27 кв. 657, Немирів, 02052",314 90 70,arkhypenkookseniia@example.net
Чорновіл,Ілля,Богданович,Чоловіча,1972-12-21,Палеонтолог,місто Мелітополь,"узвіз Жевахова, буд. 8, Знам'янка, 83336",813-26-57,cievtushenko@example.org
Атрощенко,Дан,Андрійович,Чоловіча,1992-10-16,Державний службовець,селище Кілія,"набережна Миколи Троїцького, буд. 605 кв. 3, Токмак, 93737",141-36-69,amaliiabandera@example.net
Романець,Демид,Богданович,Чоловіча,1952-01-23,Фармацевт,село Шумськ,"вулиця Гайова, буд. 77 кв. 97, Буча, 18189",092 372 84 09,mykolaitkach@example.net
Жадан,Валентин,Олександрович,Чоловіча,1966-03-27,Дипломат,селище Долинська,"сквер Журавлина, буд. 6, Калуш, 81662",+380 40 195 11 22,bchaika@example.net
Єременко,Адам,Андрійович,Чоловіча,1964-11-30,Громадський діяч,селище Марганець,"шосе Старицького, буд. 2 кв. 4, Охтирка, 34901",+380 59 234-52-46,stefan97@example.com
Микитюк,Павло,Олександрович,Чоловіча,2002-01-12,Нотаріус,селище Копичинці,"узвіз Горизонтальна, буд. 644 кв. 45, Запоріжжя, 74325",+380 (91) 687-49-33,sofiiakolesnychenko@example.net
Медведенко,Азар,Олександрович,Чоловіча,1981-08-06,Фізик,місто Дунаївці,"парк Старокінний, буд. 20 кв. 6, Бахчисарай, 30077",359 90 23,sdatsiuk@example.com
Засядько,Хома,Іванович,Чоловіча,1992-06-12,Пекар,місто Одеса,"парк Восьмого березня, буд. 460 кв. 438, Кролевець, 65878",073 253 03 97,ielysei36@example.org
Малишко,Олесь,Юрійович,Чоловіча,2008-06-24,Стропальник,село Зборів,"узвіз Український 2-й, буд. 23, Фастів, 41103",995-60-09,fastenkobohdanna@example.org
Фурс,Іван,Юрійович,Чоловіча,1962-06-29,Продюсер,хутір Гнівань,"площа Лінія 22-га, буд. 82, Алупка, 35393",057 427-93-60,chekaliukviktoriia@example.org
Штепа,Степан,Володимирович,Чоловіча,2002-04-07,Державний службовець,село Носівка,"проспект Світлий, буд. 5, Нововолинськ, 52094",074 115-45-42,aivanchenko@example.com
Ватаманюк,Венедикт,Дмитрович,Чоловіча,1982-06-22,Антрополог,хутір Ірміно,"провулок Танфільєва, буд. 075 кв. 299, Гайсин, 56962",009 867-60-17,ihor82@example.com
Базилевич,Олекса,Андрійович,Чоловіча,1991-08-22,Ботанік,хутір Яготин,"парк Бориса Дерев'янка, буд. 745, Тлумач, 74237",+380 38 734 08 10,iatamanchuk@example.com
Уманець,Святослав,Юрійович,Чоловіча,1966-08-29,Гірничий інженер,селище Щастя,"проспект тупик Хвиля, буд. 282 кв. 54, Кривий Ріг, 49692",+380 54 091-97-93,derkachiakiv@example.org
Іваничук,Борис,Михайлович,Чоловіча,1998-10-11,Локсмайстер,хутір Кривий Ріг,"сквер Савицький, буд. 202, Люботин, 59119",+380 76 727 10 73,okhrymovychanton@example.net
Міщенко,Євген,Сергійович,Чоловіча,1964-08-30,Мовознавець,село Торецьк,"узвіз Іспанська, буд. 58, Добромиль, 54436",247 81 94,oshmorhun@example.com
Венгринович,Богодар,Юрійович,Чоловіча,1992-09-14,Професор,селище Моршин,"узвіз Приморський, буд. 59, Лубни, 82315",456-20-12,roksolana94@example.org
Павличенко,Леон,Андрійович,Чоловіча,1949-08-01,Єгер,село Шпола,"парк Дорожня, буд. 5, Євпаторія, 05193",+380 73 274-43-28,isaievychdanna@example.net
Чарниш,Вʼячеслав,Іванович,Чоловіча,1960-01-16,Літературознавець,селище Кам'янка-Бузька,"вулиця Місячна, буд. 238 кв. 768, Калуш, 77754",004 696 00 19,aaron54@example.net
Чередник,Іван,Петрович,Чоловіча,1980-12-11,Стропальник,село Волочиськ,"сквер Старобазарний, буд. 5 кв. 13, Алмазна, 27312",078 591 36 83,zdzhun@example.org
Вдовиченко,Трохим,Володимирович,Чоловіча,1949-07-30,Бібліотекар,хутір Лиман,"провулок Перепечка, буд. 475, Брянка, 85354",149-17-23,rvanchenko@example.org
Коваленко,Стефан,Іванович,Чоловіча,1951-10-17,Математик,хутір Лебедин,"сквер Тепличний 2-й, буд. 396 кв. 77, Лебедин, 02480",960-79-98,kolisnychenkoliudmyla@example.com
Лубенець,Едуард,Богданович,Чоловіча,1949-06-12,Флорист,селище Ровеньки,"вулиця Трибуни героїв, буд. 302, Верхньодніпровськ, 58543",+380 63 763-81-80,levko78@example.net
Гресь,Ілля,Михайлович,Чоловіча,1950-07-03,Біолог,селище Краматорськ,"шосе Восьмого березня 1-й, буд. 3, Обухів, 57217",+380 81 750 66 69,radchenkoiarema@example.org
Верес,Володимир,Андрійович,Чоловіча,2000-07-31,Астроном,хутір Берислав,"площа Моторний 1-й, буд. 1, Жашків, 05406",266 10 97,rebrykokhrim@example.net
Влох,Пантелеймон,Володимирович,Чоловіча,1967-06-25,Фотограф,селище Щолкіне,"сквер Романтиків, буд. 8 кв. 80, Білгород-Дністровський, 82568",221 88 69,sviatoslav65@example.com
Мазур,Демид,Андрійович,Чоловіча,1967-08-02,Стиліст,місто Черкаси,"площа Сергія Шелухина, буд. 917, Шахтарське, 90550",060 554-26-53,solomiiaopanasenko@example.net
Якименко,Святослав,Володимирович,Чоловіча,2007-02-10,Співак,село Баранівка,"шосе Костанді 3-й, буд. 387 кв. 32, Скалат, 31652",+380 45 051-29-91,iukhym74@example.com
Вовк,Валерій,Дмитрович,Чоловіча,1981-06-18,Актор,селище Хрустальний,"шосе Басейна, буд. 2, Снігурівка, 57766",065 389 13 23,iukhym33@example.net
Баштан,Гаврило,Сергійович,Чоловіча,1940-11-09,Промисловець,місто Дебальцеве,"проспект Різницький, буд. 015 кв. 0, Косів, 64169",943 50 68,liuboviakymchuk@example.com
Рак,Максим,Сергійович,Чоловіча,1947-12-31,Електромонтер,місто Інкерман,"вулиця Лиманчик 2-й Лінія 8-ма, буд. 0 кв. 8, Устилуг, 38064",+380 87 064-08-64,oksana20@example.org
Жученко,Мирон,Юрійович,Чоловіча,1941-08-31,Фотограф,селище Носівка,"провулок Трибуни героїв, буд. 1, Красноперекопськ, 59200",+380 65 474 48 51,martabarannyk@example.net
Колісниченко,Віталій,Богданович,Чоловіча,1967-04-19,Гінеколог,село Рахів,"проспект Бузковий 1-й, буд. 72, Ворожба, 31967",074 609 24 31,nazar15@example.net
Гаврилюк,Болеслав,Сергійович,Чоловіча,1979-03-23,Реабілітолог,селище Новоукраїнка,"провулок Бітумна, буд. 029, Яворів, 81222",000 462-68-18,davramchuk@example.net
Іщак,Олесь,Андрійович,Чоловіча,1944-03-18,Гінеколог,місто Бориспіль,"шосе Сирітський, буд. 7 кв. 191, Чоп, 02365",+380 (44) 844-21-53,ulesyk@example.org
Дуплій,Аарон,Іванович,Чоловіча,1984-10-24,Палеонтолог,хутір Болград,"площа Савранська, буд. 59 кв. 3, Кобеляки, 86195",+380 73 898-04-35,mykolaiakymenko@example.net
Андрощук,Юхим,Юрійович,Чоловіча,1958-07-27,Астроном,селище Кам'янка-Дніпровська,"шосе Бориса Кифоренка, буд. 38 кв. 438, Монастириська, 22891",+380 43 334 79 67,andriiisaievych@example.org
